Tabulated Kremer-Grest potential
Columns are R, F(r)/r and U(r)
Header reads: N_pts, r_min and r_max (r_max is also r_cutoff)
# 10000 0.500000 1.499900
0.526200 -380589.386104 8693.665585
0.526300 -379573.498740 8673.663834
0.526400 -378560.509669 8653.711678
0.526500 -377550.410083 8633.808984
0.526600 -376543.191202 8613.955620
0.526700 -375538.844272 8594.151455
0.526800 -374537.360571 8574.396358
0.526900 -373538.731402 8554.690199
0.527000 -372542.948098 8535.032847
0.527100 -371550.002018 8515.424172
0.527200 -370559.884552 8495.864045
0.527300 -369572.587114 8476.352338
0.527400 -368588.101148 8456.888920
0.527500 -367606.418125 8437.473665
0.527600 -366627.529544 8418.106443
0.527700 -365651.426930 8398.787128
0.527800 -364678.101836 8379.515592
0.527900 -363707.545844 8360.291708
0.528000 -362739.750560 8341.115349
0.528100 -361774.707618 8321.986390
0.528200 -360812.408681 8302.904704
0.528300 -359852.845436 8283.870167
0.528400 -358896.009598 8264.882653
0.528500 -357941.892909 8245.942037
0.528600 -356990.487137 8227.048195
0.528700 -356041.784075 8208.201002
0.528800 -355095.775546 8189.400336
0.528900 -354152.453397 8170.646073
0.529000 -353211.809500 8151.938090
0.529100 -352273.835756 8133.276264
0.529200 -351338.524089 8114.660473
0.529300 -350405.866451 8096.090594
0.529400 -349475.854820 8077.566508
0.529500 -348548.481198 8059.088091
0.529600 -347623.737615 8040.655223
0.529700 -346701.616124 8022.267785
0.529800 -345782.108804 8003.925654
0.529900 -344865.207762 7985.628712
0.530000 -343950.905127 7967.376840
0.530100 -343039.193056 7949.169916
0.530200 -342130.063729 7931.007824
0.530300 -341223.509351 7912.890444
0.530400 -340319.522154 7894.817659
0.530500 -339418.094394 7876.789350
0.530600 -338519.218351 7858.805399
0.530700 -337622.886330 7840.865690
0.530800 -336729.090661 7822.970106
0.530900 -335837.823698 7805.118530
0.531000 -334949.077820 7787.310846
0.531100 -334062.845432 7769.546938
0.531200 -333179.118959 7751.826690
0.531300 -332297.890855 7734.149988
0.531400 -331419.153594 7716.516716
0.531500 -330542.899678 7698.926761
0.531600 -329669.121629 7681.380006
0.531700 -328797.811996 7663.876340
0.531800 -327928.963350 7646.415647
0.531900 -327062.568288 7628.997815
0.532000 -326198.619427 7611.622731
0.532100 -325337.109411 7594.290282
0.532200 -324478.030905 7577.000356
0.532300 -323621.376600 7559.752840
0.532400 -322767.139208 7542.547624
0.532500 -321915.311465 7525.384595
0.532600 -321065.886130 7508.263643
0.532700 -320218.855987 7491.184657
0.532800 -319374.213840 7474.147526
0.532900 -318531.952517 7457.152141
0.533000 -317692.064870 7440.198391
0.533100 -316854.543774 7423.286167
0.533200 -316019.382124 7406.415359
0.533300 -315186.572841 7389.585860
0.533400 -314356.108865 7372.797560
0.533500 -313527.983162 7356.050350
0.533600 -312702.188718 7339.344124
0.533700 -311878.718542 7322.678773
0.533800 -311057.565667 7306.054189
0.533900 -310238.723144 7289.470267
0.534000 -309422.184051 7272.926898
0.534100 -308607.941485 7256.423978
0.534200 -307795.988565 7239.961398
0.534300 -306986.318433 7223.539054
0.534400 -306178.924253 7207.156840
0.534500 -305373.799210 7190.814651
0.534600 -304570.936509 7174.512381
0.534700 -303770.329381 7158.249926
0.534800 -302971.971074 7142.027182
0.534900 -302175.854860 7125.844044
0.535000 -301381.974032 7109.700409
0.535100 -300590.321903 7093.596173
0.535200 -299800.891810 7077.531233
0.535300 -299013.677108 7061.505486
0.535400 -298228.671174 7045.518829
0.535500 -297445.867408 7029.571159
0.535600 -296665.259229 7013.662376
0.535700 -295886.840077 6997.792377
0.535800 -295110.603413 6981.961060
0.535900 -294336.542719 6966.168325
0.536000 -293564.651498 6950.414069
0.536100 -292794.923272 6934.698194
0.536200 -292027.351586 6919.020598
0.536300 -291261.930004 6903.381181
0.536400 -290498.652110 6887.779843
0.536500 -289737.511508 6872.216485
0.536600 -288978.501825 6856.691008
0.536700 -288221.616705 6841.203313
0.536800 -287466.849813 6825.753300
0.536900 -286714.194836 6810.340872
0.537000 -285963.645478 6794.965930
0.537100 -285215.195465 6779.628376
0.537200 -284468.838542 6764.328113
0.537300 -283724.568475 6749.065044
0.537400 -282982.379047 6733.839071
0.537500 -282242.264063 6718.650098
0.537600 -281504.217347 6703.498028
0.537700 -280768.232743 6688.382764
0.537800 -280034.304113 6673.304212
0.537900 -279302.425340 6658.262275
0.538000 -278572.590325 6643.256857
0.538100 -277844.792990 6628.287864
0.538200 -277119.027274 6613.355200
0.538300 -276395.287136 6598.458772
0.538400 -275673.566555 6583.598484
0.538500 -274953.859529 6568.774242
0.538600 -274236.160072 6553.985953
0.538700 -273520.462221 6539.233523
0.538800 -272806.760030 6524.516859
0.538900 -272095.047571 6509.835867
0.539000 -271385.318935 6495.190454
0.539100 -270677.568232 6480.580529
0.539200 -269971.789592 6466.005999
0.539300 -269267.977160 6451.466771
0.539400 -268566.125103 6436.962755
0.539500 -267866.227605 6422.493858
0.539600 -267168.278867 6408.059989
0.539700 -266472.273110 6393.661057
0.539800 -265778.204573 6379.296972
0.539900 -265086.067513 6364.967642
0.540000 -264395.856204 6350.672978
0.540100 -263707.564939 6336.412890
0.540200 -263021.188029 6322.187287
0.540300 -262336.719803 6307.996081
0.540400 -261654.154608 6293.839181
0.540500 -260973.486807 6279.716500
0.540600 -260294.710784 6265.627947
